id,subject,status,priority,assignee_id,requester_id,organization_id,tags,created_at,updated_at
115041,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T18:50:48Z,2025-10-30T18:50:48Z
115055,"Er heeft zich een fout voorgedaan met uw stroom ""Trigger btw checker on edit""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T05:36:46Z,2025-10-31T05:36:46Z
115056,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Vacature: offline na 30 dagen v2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T05:49:29Z,2025-10-31T05:49:29Z
115057,"Er heeft zich een fout voorgedaan met uw stroom ""Vaste taak laatst verstuurde whatsapp bericht""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T05:55:33Z,2025-10-31T05:55:33Z
115058,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:18Z,2025-10-31T06:00:18Z
115060,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:26Z,2025-10-31T06:00:26Z
115059,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:24Z,2025-10-31T06:00:24Z
115062,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:40Z,2025-10-31T06:00:40Z
115061,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:33Z,2025-10-31T06:00:33Z
115063,"Sandbox: Er heeft zich een fout voorgedaan met uw stroom ""Archiveer de aanvraag-vacature na 1 jaar""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:00:45Z,2025-10-31T06:00:45Z
115065,"Er heeft zich een fout voorgedaan met uw stroom ""Telling outreach naar kandidaat""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:36Z,2025-10-31T06:03:36Z
115064,"Er heeft zich een fout voorgedaan met uw stroom ""Telling outreach naar kandidaat""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:34Z,2025-10-31T06:03:34Z
115068,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:44Z,2025-10-31T06:03:44Z
115067,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 2""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:43Z,2025-10-31T06:03:43Z
115066,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:41Z,2025-10-31T06:03:41Z
115069,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 1""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:03:55Z,2025-10-31T06:03:55Z
115070,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:04:31Z,2025-10-31T06:04:31Z
115073,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:04:40Z,2025-10-31T06:04:40Z
115071,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:04:34Z,2025-10-31T06:04:34Z
115072,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 3""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:04:37Z,2025-10-31T06:04:37Z
115074,"Er heeft zich een fout voorgedaan met uw stroom ""AVG mail 1""",closed,normal,,12426039016732,,['created_from_email'],2025-10-31T06:06:50Z,2025-10-31T06:06:50Z
115039,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:49:38Z,2025-10-30T17:49:38Z
115038,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:49:34Z,2025-10-30T17:49:34Z
115037,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:19:00Z,2025-10-30T17:19:00Z
115036,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:56Z,2025-10-30T17:18:56Z
115031,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:49Z,2025-10-30T17:18:49Z
115033,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:52Z,2025-10-30T17:18:52Z
115035,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:54Z,2025-10-30T17:18:54Z
115032,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:50Z,2025-10-30T17:18:50Z
115034,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:53Z,2025-10-30T17:18:53Z
115030,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:18:44Z,2025-10-30T17:18:44Z
115028,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:03:09Z,2025-10-30T17:03:09Z
115029,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:03:12Z,2025-10-30T17:03:12Z
115022,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:02:56Z,2025-10-30T17:02:56Z
115021,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:02:56Z,2025-10-30T17:02:56Z
115025,"Er heeft zich een fout voorgedaan met uw stroom ""Ziekmeldingen totaaltelling (planning)""",closed,normal,,12426039016732,,['created_from_email'],2025-10-30T17:03:00Z,2025-10-30T17:03:00Z
